Name,Logo URL,Industries,Full Description,Description,Top 5 Investors,Last Funding Type,Last Funding Amount,Total Funding Equity,Number of Employees,Headquarters Location,Competitors,Founded Date
Journee,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ji5delv1wqjeoze4ca7q","Artificial Intelligence (AI), Augmented Reality, Enterprise Software, Human Computer Interaction, Internet, Software, Virtual Reality",Journee is the market leader in the rapidly growing Immersive AI space. We create immersive solutions for the world's biggest brands and governments.,Journee is the leader in the rapidly growing Immersive AI/ Spatial space.,,Series A,—,—,51-100,"Berlin, Berlin, Germany",10,May 2020
Inorsa,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/g7tqzophd2oleqpdhy3k","Artificial Intelligence (AI), Construction, Energy, Enterprise Software, SaaS, Software, Solar, Telecommunications",—,"Inorsa helps telecom, utilities and energy companies build, maintain and upgrade their infrastructure through automation and AI.",Cota Capital,Seed,—,—,11-50,"Austin, Texas, United States",5,"Feb 12, 2020"
MARLO,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/qcyqw4ufh4wj3xcl4f4h","Financial Services, FinTech, Lending, Shipping","MARLO provides working capital solutions for shipping companies, connecting them with lenders worldwide.",MARLO is the world's first lending platform for the $100 Billion+ ocean freight industry.,"Techstars, Systema, Systema nova, Eastern Pacific Accelerator",Seed,—,—,11-50,"London, England, United Kingdom",6,"Jul 5, 2018"
CorralData,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/v5r2mg6psrrnmgfh4tyz","Analytics, Application Performance Management, Artificial Intelligence (AI), Business Intelligence, Data Visualization, Marketing, Software","CorralData is an AI-driven data platform that allows businesses to connect, analyze, and collaborate on their company data. The company platform features include automated reporting, data tooltips, real-time goal and budget setting, built-in collaboration and chat, and AI-powered dashboards and reporting.","CorralData is an AI-driven data platform that allows businesses to connect, analyze, and collaborate on their company data.","Orange Ventures, New York Angels, eonCapital, Hilltop Venture Partners, Perimetere Capital",Seed,—,—,11-50,"New York, New York, United States",6,2020
Out of the Blue,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/elfuag1ymocwejeccpzo","Analytics, Artificial Intelligence (AI), Enterprise Software, Internet, Machine Learning, Retail, Sales Automation","Out of the Blue is a desire to change how data is used in organizations, and through surfacing timely data stories, expect to have an impact on how decisions are made. The simple data visualizations reinforce the narratives generated by client data, enabling them to take actions that will enhance the health of their businesses.",Out of the Blue is an AI-driven insights platform that helps monitor and alert business users to changes in performance.,Dhiren Bhatia,Seed,—,—,11-50,"San Carlos, California, United States",14,"Feb 1, 2021"
Custodia,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/zucroic0eirytzwgatib","Artificial Intelligence (AI), Enterprise Software, FinTech, Information Technology, Internet, Machine Learning, SaaS, Software","We started Custodia because we believe the future of work should empower all employees with streamlined systems and intelligent design. And so we reinvented the expense process with this in mind. Using the same advanced technology we had delivered to our clients in other markets, we created Custodia to empower all employees to spend smarter, offering mobility, control, and insight. Custodia eliminates the friction and frustration that employees face when it comes to corporate finance: bridging the gap between fintech and enterprise software.",Helping companies eliminate friction and frustration with the power of AI,,Seed,—,—,11-50,"New York, New York, United States",10,"Apr 19, 2018"
Typo,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/7499f9d9ebc742baa7a90d9796cd2f1d","Artificial Intelligence (AI), B2B, SaaS, Software, Software Engineering","Typo is an AI-driven software delivery management platform that enables dev teams with real-time SDLC visibility, automated code reviews & DevEX insights to code better, deploy faster & stay aligned with business goals. It connects with the existing tool stack within 30 seconds & empowers with : - Real-time SDLC visibility, DORA Metrics & Delivery Intelligence - Automated code reviews, vulnerabilities & auto-fixes - Developer experience insights & potential burnout zones Join 1000+ high-performing engineering teams across the globe that are using Typo to ship reliable software faster. Start your 14-day free trial now at - https://typoapp.io","All-in-one engineering intelligence platform to optimise software delivery - identify blockers, automate code reviews & improve productivity","Blume Ventures, Anicut Capital, Supermorpheus",Seed,—,—,11-50,"Dover, Delaware, United States",9,2022
ClearQuote,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ibwexx9anxdvptbfahiv","Artificial Intelligence (AI), Autonomous Vehicles, InsurTech, Software",ClearQuote is an app that automates vehicle inspections using smartphone images and artificial intelligence. Their leasing companies can track the external vehicle condition in an automated manner and offer a frictionless customer experience during handovers. They helps insurers save time and cost in underwriting and processing motor claims.,ClearQuote is an mobile application that provides vehicle inspections and damage assessment services.,"Alchemist Accelerator, HATCHER+, Sente Ventures",Seed,—,—,11-50,"Cardiff, Cardiff, United Kingdom",7,2018
15Rock,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/kw52dven3ftcs1lcg6q7","FinTech, Sustainability","15Rock is a SaaS platform that utilizes climate research and machine learning models to aid in decarbonizing the planet. It also develops a revolutionary risk platform that combines sophisticated analysis, machine learning, and science to account for the financial implications of companies practices.",15 Rock provides climate risk management and advisory services.,,Seed,—,—,11-50,"Toronto, Ontario, Canada",8,"Apr 14, 2019"
AbstractOps,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/69c661244fbf6eaae034","Data Integration, Document Management","AbstractOps is legal back-office management software. They provide an operating system for back office operations for HR, legal, finance, regulators, and vendors. They provide products that include quick track, quick file, and quick resolve.",AbstractOps provides the operator and the operating system to help manage corporate functions.,"Bossanova Investimentos, GFR Artists",Seed,—,—,11-50,"San Francisco, California, United States",7,2019
Humble AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ffslge3dxvmlkej4b9fs","Artificial Intelligence (AI), Machine Learning, Software","Humble is your AI Assistant for work - boosting your personal and team productivity from within the tools you already use. Humble empowers B2B teams to automate B2B Sales Processes such as RFP Generations, Infosec Requirements as well as seamless integrations with your CRM systems.",Humble is your AI Assistant for work - boosting your personal and team productivity from within the tools you already use.,"PactVC, Cur8 Capital",Seed,—,—,11-50,"Cambridge, Cambridgeshire, United Kingdom",6,2022
Sightfull,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/jbrdpfbha6zcd0gkzmkv","Analytics, B2B, Big Data, Business Intelligence, SaaS, Sales, Software","Sightfull is an end-to-end analytics platform with a robust semantic modeling layer, enabling analysts to create complex metrics quickly and easily. It offers pre-built templates, a central store for consistent metrics, and seamless integration into existing data stacks or as a standalone solution. Business users benefit from self-service data insights, leveraging Google Sheets and Excel integrations and generative AI for querying metrics, making it ideal for operations, finance, and business analysts. Try Sightfull for free: https://www.sightfull.com/",End-to-end analytics platform ensuring consistent metrics with a central semantic modeling layer,"Tiger Global Management, Dell Technologies Capital, Norwest Venture Partners, Cerca Partners, Andrew Vigneault",Series A,—,—,11-50,"San Francisco, California, United States",9,2020
Askflow AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/mfengssinlc6v53wcxc6","E-Commerce, Generative AI, SaaS","Askflow is an AI-powered product recommendation platform that acts as an AI shopping assistant, providing brands and merchants with highly personalized and immersive shopping experiences tailored to their customer's unique needs. Askflow provides an all-in-one e-commerce suite solution designed to improve conversion rates for e-commerce businesses. As the first feature of this suite, our AI-generated product recommendation quizzes leverage customer preferences. By parsing the store owner's product catalog, we provide personalized product finders that can be customised to meet the store owner's needs. In addition, our platform maximises zero-party marketing opportunities by using AI-powered assistants in the future to deliver personalized product recommendations through natural language search to drive customer engagement.","AI-powered, no-code, built for ecommerce platforms suite of solutions that provides personalized experiences.",Private Investor,Seed,—,—,11-50,"London, England, United Kingdom",3,2023
